User ID,Postive_sen,neutral_sen,Neg_sen,Unknown_Sen,Anger,Sad,Love,Happiness,Neutral,unkown_emotion,unknow_emo_intensity,noemotion,Some_emotion,Extreme_Emotion,total_tweets
,1,2,3,0,1,2,3,4,5,0,0,1,2,3,1
CynthiaSyuko,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2
macklork,1,1,5,0,3,1,3,0,0,0,0,0,6,1,7
VintedAlyssa,1,1,3,0,0,3,1,0,0,1,1,0,3,1,5
ChristyLovee_,3,2,3,2,0,3,1,2,0,4,1,2,6,1,10
_nicolenaranjo,3,16,12,8,3,13,0,3,0,20,3,1,28,7,39
rickyterriquez,4,3,8,5,5,3,2,3,0,7,2,1,15,2,20
angelaa_trannn,1,0,5,0,0,4,0,2,0,0,0,0,5,1,6
pppnguyener,2,1,3,1,0,3,0,2,0,2,0,0,4,3,7
lauraa_x16,0,1,0,1,0,0,0,0,0,2,0,0,2,0,2
daisiessyrup,1,0,2,1,0,2,0,1,0,1,0,0,3,1,4
Shea_bertolucci,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
rgiiipa,3,0,0,1,0,0,2,1,0,1,1,0,3,0,4
taytay_shanay,2,0,0,2,0,0,0,2,0,2,2,0,2,0,4
theaaliyahsade,7,13,1,7,1,0,0,5,0,22,2,8,18,0,28
francapark,11,7,4,4,2,2,2,8,0,12,3,7,12,4,26
CHRISHTYCLAR,1,0,1,0,0,1,0,0,0,1,0,0,2,0,2
mermaidnury,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
devyneverts,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
ThatAsian_Zeke,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
paja_thao,3,1,6,2,2,4,1,2,0,3,0,0,12,0,12
KAISERxDRAGON,0,2,2,0,1,1,0,0,0,2,0,1,3,0,4
NYokubaitis,1,2,0,0,0,0,0,1,0,2,0,1,2,0,3
daisyarriaga1,16,1,3,0,0,1,2,12,0,5,0,1,14,5,20
Lilly_vujacic,2,2,2,1,0,2,1,1,0,3,1,1,5,0,7
nancyh_22,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2
