Twitter ID,Week#,Tweets,"1=postive, 2=N, 3=Negative, 0=unknown","EmotionCode (1= Anger/insult/dogmatic/judgemental2= fear/stressed out/depressed/sad/bummed out/embarrassed, 3= loving/kind/supportive/inspired/helpful/longing/hopeful, 4 = happy/joking/excited/turned on 5= Neutral,statement 0 = don't know/not relevant/sarcastic without enough info on emotion","Emotion Intensity (0=unknown/not relvant 1= no emotion, 2 = some emotion, 3= extremely intense)",950
theaaliyahsade,2,!! https://t.co/Yh01rVUoWU,0,0,0,
theaaliyahsade,3,!!!!!! https://t.co/FCObkMweMx,0,0,0,
scoopofscorpio,3,???? https://t.co/OT4LO70mYV,0,0,0,
scoopofscorpio,11,???? https://t.co/RA7ekVmUx4,0,0,0,
Lilly_vujacic,3,????????,0,0,0,
ChristyLovee_,4,???????? https://t.co/QiFYYGKTBk,0,0,0,
scoopofscorpio,11,???????????? https://t.co/L2Oz8szXVr,0,0,0,
ChristyLovee_,10,???????????????\x8d https://t.co/8LIxzrD8BE,0,0,0,
rickyterriquez,5,???????\xa4 happy belated birthday gay boy ????,1,4,2,
ChristyLovee_,9,??????\x8f???????\x8f???????\x8f? https://t.co/TZ4j8SOdvo,0,0,0,
ChristyLovee_,9,??????\x8f???????\x8f???????\x8f? https://t.co/TZ4j8SOdvo,0,0,0,
rickyterriquez,5,??????\x90\x9d???? congrats you got your braces off!,1,3,2,
theaaliyahsade,0,????WHEN THE WHITE FACULTY MEMBER REFLECTS ON SUPPOSEDLY EXPERIENCING RACISM DURING THE 1960'S BC SHE LIVED IN A BLACK NEIGHBORHOOD?!,0,0,0,
ChristyLovee_,9,???\x81??????\x8f????\x81,0,0,0,
scoopofscorpio,3,???\xa3 https://t.co/oMq5vsYvYQ,0,0,0,
rickyterriquez,5,??\x90????? you're rly cute but I don't think we've ever really had a conversation,1,3,2,
_nicolenaranjo,6,??How do I get all my shit done on time?,3,2,2,
daisyarriaga1,5,@____veee lol congrats i was already like no vanesssa  lol happy u r being an aunt u will love it trust,1,3,2,
nancyh_22,3,@___moonmoon awwww I miss u too :(  We should hang out on a weekend that I go home,1,3,3,
nancyh_22,3,@___moonmoon lmao tengo un chingo de tarea y es para ma?\xa4ana,0,0,0,
_nicolenaranjo,3,@__kimburrlee Thanks kim &lt;3 #missyou #bigbooty lol,1,3,2,
_nicolenaranjo,3,@__kimburrlee we can invite grandpa!!! lol,1,4,2,
nancyh_22,9,@_biggg estan feos,0,0,0,
nancyh_22,3,@_biggg go to sleep lol,0,0,2,
nancyh_22,4,@_biggg I wish I could go to Washington,3,2,2,
nancyh_22,8,@_biggg with u I haven't seen u in for ever lol,1,4,2,
NYokubaitis,12,@_davidpulaski @Sidney_K33 it may return... No love though Sid.,0,0,0,
ThatAsian_Zeke,1,@_Dirty_Randy http://t.co/BuxmiY0z4Y,0,0,0,
rickyterriquez,7,@_Jaastine THANK YOU JASTINE! miss you bunches \x9f\x9d???\x8f,1,3,3,
sgbrandonn,5,@_jimmz ???????? and then my 4-5pm class always goes over time and we stay there an extra hour ????????,3,2,2,
_nicolenaranjo,3,@_jimmz boo where have ya been @???,2,5,0,
_nicolenaranjo,3,@_jimmz bruhhh me 2,2,5,2,
_nicolenaranjo,3,@_jimmz I love @nancyh_22 more than I love ice cream gelato at caf?? 1919!!! http://t.co/b5jVVnDJ2E,2,5,0,
_nicolenaranjo,3,@_jimmz if you were a ginger you would be the QTest #TBH,2,5,0,
