User ID,,Tweet ID,Date,Exclude RT,Tweet,"1=postive, 2=N, 3=Negative, 0=unknown","EmotionCode (1= Anger/insult/dogmatic/judgemental2= fear/stressed out/depressed/sad/bummed out/embarrassed, 3= loving/kind/supportive/inspired/helpful/longing/hopeful, 4 = happy/joking/excited/turned on 5= Neutral,statement 0 = don't know/not relevant/sarcastic without enough info on emotion","Emotion Intensity (0=unknown/not relvant 1= no emotion, 2 = some emotion, 3= extremely intense)",1844,,,,,,,,,,
CynthiaSyuko,5,6.63E+17,11/6/15 21:15,RT,"RT @latimes: Disney just dropped a brand new â€œStar Wars: The Force Awakensâ€ trailer, revealing a chunk of new footage https://t.co/6mtWN1jsâ€¦",,,,,,,,,,,,,,
CynthiaSyuko,5,6.63E+17,11/6/15 17:37,RT,RT @BabyAnimalPics: My heart ðŸ’™ðŸ˜­ OMG  https://t.co/cgB1gQKXQ4,,,,,,,,,,,,,,
CynthiaSyuko,5,6.62E+17,11/5/15 4:48,RT,RT @VanceNguyener: OMG the way he looks at her! #jusygirlypost https://t.co/YEcqPUgDYb,,,,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 6:28,De,Definitely bro bro. I miss it  https://t.co/MzpvrfbAj3,1,3,2,,,,,,,,,,,
CynthiaSyuko,5,6.61E+17,11/3/15 3:29,RT,"RT @BabyAnimalPics: if you're having a bad day, here are some turtles wearing sweaters  https://t.co/Z6dE6RsQcb",,,,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 6:31,@M,@MarcelloCRT much love! You should see if any other people wanna join sometime,2,5,1,,,,,,,,,,,
CynthiaSyuko,5,6.61E+17,11/2/15 15:30,RT,RT @BabyAnimalPics: ME SINCE HALLOWEEN IS OVER  https://t.co/imo26q0uFK,,,,,,,,,,,,,,
ChristyLovee_,5,6.63E+17,11/7/15 8:48,Go,Gotta get back on my school ish,2,5,1,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 6:57,@M,@MarcelloCRT tell them to get it together and step their game up @alovehatethang @CydnieeC,2,5,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 7:18,@M,@MarcelloCRT oh alright that.,2,5,0,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 7:19,@M,@MarcelloCRT so everytime I'm about to tweet you back jensons twitter name pops up in my autofill for the next word ya know? Lol,2,5,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 8:36,Un,Unthinkable by Alicia Keys and Drake will always be #1,1,3,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:13,@C,@CydnieeC @MarcelloCRT @alovehatethang lol the corners is where it's at ! ðŸ˜…ðŸ˜…,2,5,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:16,@M,@MarcelloCRT who you? I would love that!,1,4,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:16,@M,@MarcelloCRT good,0,0,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:18,@M,@MarcelloCRT too late told ya first. Did yiu ever get my text?,2,5,0,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:19,@M,@MarcelloCRT it was a screen shot,2,5,0,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 9:47,@M,@MarcelloCRT wow.,1,4,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 6:37,@M,@MarcelloCRT aww weak sauce,3,1,2,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 17:30,@G,@Gabe_g18 ðŸ˜‚ðŸ˜‚ dang so true... lol #deep,2,5,2,,,,,,,,,,,
ChristyLovee_,5,6.63E+17,11/7/15 11:15,RT,RT @dariandbrooks: Niggas will know everything there is to know about basketball but will struggle with simple math ðŸ˜‚ https://t.co/XhaeiLMCâ€¦,,,,,,,,,,,,,,
_ChainGangRick,5,6.62E+17,11/5/15 3:26,Pl,Playing a Taylor Swift song and all of a sudden.. I get a missed call from @halie_grimes coincidence I think not... ðŸ˜…â¤,2,5,2,,,,,,,,,,,
_ChainGangRick,5,6.62E+17,11/5/15 3:29,@G,@Gabe_g18 @halie_grimes #GabeKnows,0,0,2,,,,,,,,,,,
ChristyLovee_,5,6.63E+17,11/7/15 10:44,RT,RT @EXERClSES: First world problems https://t.co/wKD1k1QaU4,,,,,,,,,,,,,,
_ChainGangRick,5,6.61E+17,11/2/15 16:52,Wa,Waking up sucks lol,3,2,2,,,,,,,,,,,
_ChainGangRick,5,6.62E+17,11/5/15 3:29,@h,@halie_grimes @WelchLit better watch yourself Noah that's my sister.,3,1,2,,,,,,,,,,,
_ChainGangRick,5,6.63E+17,11/7/15 8:36,@h,@halie_grimes it looks like I have no neck ðŸ˜…,3,2,2,,,,,,,,,,,
ChristyLovee_,5,6.62E+17,11/5/15 9:00,RT,RT @BlackPplVines: Nigga got hit and went from Tay Tay the crazy whit boy to Glenn the accountant https://t.co/PKHY5ROVUE,,,,,,,,,,,,,,
ChristyLovee_,5,6.62E+17,11/5/15 7:03,RT,RT @J_DubbDolo: He won fuck it https://t.co/i0x0d9kyjn,,,,,,,,,,,,,,
_ChainGangRick,5,6.63E+17,11/7/15 8:38,@h,@halie_grimes light out for salt master,2,5,2,,,,,,,,,,,
_cindyyyle,5,6.61E+17,11/2/15 8:18,Bo,Bonding over anything and everything with you is my favorite.,1,3,2,,,,,,,,,,,
_cindyyyle,5,6.61E+17,11/2/15 8:20,Ho,Honestly one of my best weekends by far.,1,4,2,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 8:32,RT,RT @ArlisDoNotChill: This is how racism started https://t.co/ypbCQsHBor,,,,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 8:13,RT,RT @_SamoanHooper: Couldn't have said it any better ðŸ˜´ðŸ’¯ https://t.co/KgrSaThAfy,,,,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 8:12,RT,RT @khvlen: ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ retweet this until @tylerperry see this ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ’€ðŸ‘µðŸ½ https://t.co/HDOfd59SdQ,,,,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 8:12,RT,RT @ComedyForNiggas: NINE. STEPS.ðŸ˜© https://t.co/l5qnvqZGm0,,,,,,,,,,,,,,
_ChainGangRick,5,6.63E+17,11/7/15 8:37,@h,@halie_grimes you're gross,3,1,2,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 8:04,RT,"RT @billoram: Dirk on Julius Randle: ""He puts the ball on the floor like no other power forward in this league. ... His future is very brigâ€¦",,,,,,,,,,,,,,
ChristyLovee_,5,6.61E+17,11/3/15 7:59,RT,RT @adriattical: being black is so lit,,,,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/3/15 19:50,It,"It's crazy how much has changed, how much I've changed.",0,0,0,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 7:37,@l,@lastxwish Balloons are my favorite animals,1,3,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/8/15 22:48,RT,"RT @ColIegeStudent: Remix to ignition, there's no food in the kitchen, my life is a mess and I can't afford my tuition",,,,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 7:40,@l,@lastxwish You know I can you love harder than any table glass girl you got,1,3,2,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 7:45,@l,"@lastxwish Cause we had our dark times, but I know this is where you belong.",0,0,0,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 7:54,ðŸ,ðŸ˜‚â€œ@lastxwish: @_cindyyyle my face*â€,2,5,1,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 20:09,I ,I feel so conflicted right now ..,0,0,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/8/15 4:08,RT,RT @CHlSMOSA: When you're squeezing lime into your Pozole and find a cut on your hand https://t.co/JemqX5O5Tx,,,,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/8/15 4:05,RT,RT @TheFunnyTeens: All I want: https://t.co/kyeYFVcc3H,,,,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/8/15 2:44,RT,RT @Berrysherry_: I swear it feels like it's 10 already,,,,,,,,,,,,,,
_cindyyyle,5,6.61E+17,11/2/15 19:40,So,So out of it today,3,2,2,,,,,,,,,,,
_cindyyyle,5,6.63E+17,11/7/15 19:50,@t,@torthea_chip get well soon ðŸ˜­,1,3,2,,,,,,,,,,,
_cindyyyle,5,6.63E+17,11/8/15 6:39,Yo,Your first love is almost always never your last love.,2,5,1,,,,,,,,,,,
_cindyyyle,5,6.62E+17,11/4/15 20:10,St,Stress on stress.,3,2,2,,,,,,,,,,,
_cindyyyle,5,6.63E+17,11/8/15 6:48,Bu,But I'm glad that I don't have to hide that from my parents anymore.,1,4,2,,,,,,,,,,,
_cindyyyle,5,6.63E+17,11/8/15 6:47,Th,"The ""talk"" is awkward af, especially coming from my parents.",3,1,2,,,,,,,,,,,
_nicolenaranjo,5,6.61E+17,11/3/15 0:47,GT,GTFO.,0,0,0,,,,,,,,,,,
_nicolenaranjo,5,6.61E+17,11/3/15 4:55,TB,TBH https://t.co/QUDjsqscHG,0,0,0,,,,,,,,,,,
_nicolenaranjo,5,6.61E+17,11/3/15 0:44,OM,OMG PEOPLE ARE HAVING SEX IN THE SAME STUDY ROOM THAT I AM IN.,3,1,3,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 9:56,My,My advice to young girls everywhere: stay away from boys. They are stupid. Study hard and educate yourself.,3,2,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:10,Ab,"Abortion is morally permissible. It may not be in all cases, but it is in most.",2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 16:20,RT,RT @TheFunnyTeens: Sitting in class like https://t.co/lUEJ08RdqF,,,,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:15,Th,"The issue with abortion isn't about the personhood of the fetus, it's about organ donation.",2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:16,An,And whether or not a person is willing to lend their organs for a fetus to grow.,2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:20,Th,The right to body out weighs the right to life because a fetus is dependent on the body of the mother.,2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:22,A ,A pregnant woman visits Ireland on vacation. She is pregnant and her pregnancy is killing her.,2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:23,In,"In Ireland, abortion is illegal and so  she is unable to terminate the pregnancy that is killing her.",2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 8:07,RT,RT @henryfelix96: I want to go hiking,,,,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:24,Ph,Physicians are only allowed to treat her until the heart beat of the fetus stops.,2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:25,Ho,"However, once her heart stops, the fetuses heart stops because the fetus cannot survive with out the organs of the mother.",2,5,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:04,Th,The argument against abortion has been spewed by religion and emotions and all sorts of other things...,3,1,2,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 21:02,RT,RT @BabyAnimalGifs: current mood https://t.co/TDfTdxgxMc,,,,,,,,,,,,,,
_nicolenaranjo,5,6.62E+17,11/5/15 10:27,Is,Is this a killing or are physicians simply letting her die?,3,1,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 8:00,Il,Ily ðŸ°ðŸ’• https://t.co/jYOs9myhXd,0,0,0,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 6:18,No,No one appreciates me.,3,2,3,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 8:00,So,So much for national red head day...,3,2,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 9:15,Â¿,Â¿How do I get all my shit done on time?,3,2,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 9:23,So,"Sometimes people ask me why I sleep more than I study. My answer to them is ""I care about my health.""",2,5,1,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 9:20,I ,I should wear glasses so people can take me seriously.,3,2,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 10:06,I ,I just need to listen to Adele and cry.,3,2,2,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 19:44,Bu,But I still listen to Fetty Wap...,2,5,1,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 19:44,I ,I listen to classical music because I heard that people who listen to classical music are smarter than people who listen to Fetty Wap.,2,5,1,,,,,,,,,,,
_nicolenaranjo,5,6.63E+17,11/6/15 19:45,Th,The Piano Guys are my guys!,1,4,2,,,,,,,,,,,
